"Idx","Name","Label","QC_RSD","Perc_missing","database_identifier","chemical_formula","smiles","inchi","metabolite_identification","taxid","species"
"1","M1","L-Valine","4.1194001441116","0","CHEBI:16414","C5H11NO2","CC(C)[C@H](N)C(O)=O","InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1","L-Valine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"2","M2","L-Tyrosine","7.2134831200283","0","CHEBI:17895","C9H11NO3","N[C@@H](Cc1ccc(O)cc1)C(O)=O","InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1","L-Tyrosine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"3","M3","L-Tryptophan","7.8254427627753","0","CHEBI:16828","C11H12N2O2","N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O","InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1","L-Tryptophan","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"4","M4","L-Threonine","9.1967620321836","0","CHEBI:16857","C4H9NO3","C[C@@H](O)[C@H](N)C(O)=O","InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1","L-Threonine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"5","M5","L-Homoserine","9.1967620321836","0","CHEBI:15699","C4H9NO3","N[C@@H](CCO)C(O)=O","InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1","L-Homoserine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"6","M6","L-Serine","3.3909560113634","0","CHEBI:17115","C3H7NO3","N[C@@H](CO)C(O)=O","InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1","L-Serine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"7","M7","L-Proline","3.1269894703337","0","CHEBI:17203","C5H9NO2","OC(=O)[C@@H]1CCCN1","InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1","L-Proline","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"8","M8","Pantothenate","31.493100953237","0","CHEBI:7916","C9H17NO5","CC(C)(CO)C(O)C(=O)NCCC(O)=O","InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)","Pantothenate","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"9","M9","L-Methionine","4.9034556768958","0","CHEBI:16643","C5H11NO2S","CSCC[C@H](N)C(O)=O","InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1","L-Methionine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"10","M10","L-Cystine","3.4307970748864","0","CHEBI:16283","C6H12N2O4S2","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1","L-Cystine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"11","M11","L-Histidine","7.204438278368","0","CHEBI:15971","C6H9N3O2","N[C@@H](Cc1c[nH]cn1)C(O)=O","InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1","L-Histidine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"12","M12","L-Glutamate","8.2914449574242","0","CHEBI:16015","C5H9NO4","N[C@@H](CCC(O)=O)C(O)=O","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","L-Glutamate","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"13","M13","L-Asparagine","8.949013699761","0","CHEBI:17196","C4H8N2O3","N[C@@H](CC(N)=O)C(O)=O","InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1","L-Asparagine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"14","M14","L-Alanine","5.1929834656969","0","CHEBI:16977","C3H7NO2","C[C@H](N)C(O)=O","InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1","L-Alanine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"15","M15","Sarcosine","5.1929834656969","0","CHEBI:15611","C3H7NO2","CNCC(O)=O","InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)","Sarcosine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"16","M16","beta-Alanine","5.1929834656969","0","CHEBI:16958","C3H7NO2","NCCC(O)=O","InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)","beta-Alanine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"17","M17","Succinate","7.2643384660071","0","CHEBI:15741","C4H6O4","OC(=O)CCC(O)=O","InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)","Succinate","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"18","M18","Methylmalonate","7.2643384660071","0","CHEBI:30860","C4H6O4","CC(C(O)=O)C(O)=O","InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)","Methylmalonate","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"19","M19","L-Cysteine","11.947147976487","0","CHEBI:17561","C3H7NO2S","N[C@@H](CS)C(O)=O","InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1","L-Cysteine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"20","M20","L-2-Aminoadipate","9.0524778204431","0","CHEBI:37023","C6H11NO4","N[C@@H](CCCC(O)=O)C(O)=O","InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/t4-/m0/s1","L-2-Aminoadipate","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"21","M21","N-Acetyl-D-galactosamine","6.9447401303759","0","CHEBI:28037","C8H15NO6","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6+,7-,8?/m1/s1","N-Acetyl-D-galactosamine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"22","M22","N-Acetyl-D-glucosamine","6.9447401303759","0","CHEBI:506227","C8H15NO6","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8?/m1/s1","N-Acetyl-D-glucosamine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"23","M23","N-Acetyl-D-mannosamine","6.9447401303759","0","CHEBI:63153","C8H15NO6","CC(=O)N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5+,6-,7-,8?/m1/s1","N-Acetyl-D-mannosamine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"24","M24","3-Aminoisobutyrate","5.9440419271982","0","CHEBI:27389","C4H9NO2","CC(CN)C(O)=O","InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)","3-Aminoisobutyrate","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"25","M25","(R,R)-Tartarate","13.177901878829","0","CHEBI:15671","C4H6O6","O[C@H]([C@@H](O)C(O)=O)C(O)=O","InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1","(R,R)-Tartarate","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
"26","M26","L-Ornithine","17.326309250261","0","CHEBI:15729","C5H12N2O2","NCCC[C@H](N)C(O)=O","InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1","L-Ornithine","NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens"
