"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC9"	"p9t4"	"p9t3"	"p9t6"	"p9t5"	"p9t2"	"p1t2"	"K22"	"K21"	"K20"	"K25"	"K24"	"K23"	"p6t5"	"Blank2"	"p6t4"	"Blank3"	"p6t3"	"p6t2"	"Blank1"	"p7t3"	"p6t1"	"p7t4"	"p7t2"	"p7t5"	"p7t6"	"p6t7"	"p6t6"	"QC24"	"QC25"	"QC26"	"QC20"	"p8t6"	"QC21"	"p8t7"	"QC22"	"p8t4"	"QC23"	"p8t5"	"p8t2"	"p8t3"	"K1"	"K2"	"K9"	"p4t3"	"p4t2"	"K7"	"K8"	"p4t6"	"K3"	"p4t5"	"K4"	"p4t4"	"QC11"	"Blank4"	"p2t4"	"QC12"	"p2t5"	"p2t2"	"p3t6"	"QC10"	"p2t3"	"p3t5"	"QC15"	"p3t4"	"QC16"	"p3t3"	"QC13"	"p2t6"	"p3t2"	"QC14"	"p2t7"	"QC19"	"p5t3"	"p5t4"	"QC17"	"p5t5"	"QC18"	"p5t6"	"p5t2"	"K16"	"K17"	"K18"	"K19"	"p1t7"	"p1t6"	"p1t5"	"p1t4"	"p1t3"	"K13"	"K12"	"K15"	"K14"	"K11"	"K10"
"CHEBI:16414"	"C5H11NO2"	"CC(C)[C@H](N)C(O)=O"	"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1"	"L-Valine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"8424708.307"	"7379455.196"	"3871720.345"	"5481568.022"	"8198757.865"	"1.469569337E7"	"4629356.62"	"3765579.843"	"7689977.502"	"6201472.079"	"3307581.316"	"4545691.746"	"1.066874955E7"	"6583179.498"	"82242.33485"	"5143412.916"	"48362.946"	"4736875.543"	"8071913.371"	"89955.8225"	"4294587.683"	"1.000978188E7"	"2961694.535"	"9561372.195"	"2725748.366"	"2164997.715"	"9936311.846"	"5927014.118"	"8811205.064"	"8517687.163"	"7640226.023"	"7839772.801"	"6038479.041"	"7945380.563"	"5308032.359"	"8550055.041"	"2633552.849"	"8503712.459"	"1028740.283"	"3584412.186"	"3201394.516"	"6524580.603"	"4858460.448"	"2688745.072"	"3331873.261"	"1.474832074E7"	"6519240.205"	"7046678.341"	"2724794.444"	"3962408.005"	"3372516.902"	"5261453.65"	"1856539.305"	"7891812.83"	"138092.9295"	"2130223.28"	"7900765.73"	"3902996.782"	"2.461418387E7"	"4198565.186"	"8549698.883"	"3981567.201"	"3323909.279"	"7714941.683"	"2011695.332"	"8127629.476"	"2321692.773"	"7996252.125"	"5762706.44"	"9585860.888"	"7981823.951"	"3221119.294"	"8010621.335"	"3775037.632"	"3333713.196"	"8274220.203"	"5789541.52"	"8009216.674"	"8238064.475"	"1.504783827E7"	"3827326.971"	"3634174.608"	"4208012.026"	"4235997.768"	"4289349.69"	"3212042.773"	"999949.808"	"1733289.773"	"1580922.806"	"5257827.224"	"3147046.725"	"4999634.049"	"5747838.963"	"7625626.779"	"4908288.794"
"CHEBI:17895"	"C9H11NO3"	"N[C@@H](Cc1ccc(O)cc1)C(O)=O"	"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1"	"L-Tyrosine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"4040473.748"	"1952617.508"	"1247101.239"	"1366204.628"	"2252898.081"	"5126260.065"	"2626260.313"	"1992572.439"	"2698462.854"	"1492661.636"	"1458284.339"	"1390026.964"	"1382982.98"	"2046852.032"	"8614.948"	"2015343.715"	"6989.9765"	"1845905.956"	"3146938.09"	"11156.893"	"2106059"	"2471693.328"	"746519.878"	"7161485.374"	"1498629.083"	"980860.71"	"1.138654371E7"	"1339919.844"	"3493569.296"	"3418263.947"	"3207728.043"	"3434851.309"	"5212720.696"	"3508962.651"	"1560681.957"	"3519147.286"	"1639392.266"	"3283546.77"	"642353.073"	"2972239.731"	"1929146.285"	"1548619.701"	"1624948.767"	"1404539.821"	"1536065.676"	"3820137.138"	"1757752.499"	"1256467.053"	"1205374.979"	"1396481.032"	"1514553.857"	"1803863.453"	"1372969.393"	"3486173.762"	"30502.971"	"1160327.135"	"4066787.467"	"1483607.697"	"7833214.064"	"1268495.744"	"4014459.588"	"1969824.951"	"1001754.915"	"3635168.257"	"734847.3655"	"3890911.431"	"923716.684"	"3951293.629"	"1461644.716"	"6015240.682"	"3804579.262"	"1671821.34"	"3710617.274"	"2298903.769"	"2553454.63"	"3837959.158"	"2679931.28"	"3742025.5"	"2907100.114"	"1.818659506E7"	"1655723.039"	"1142326.865"	"1696141.896"	"987765.7895"	"2975878.793"	"1407361.158"	"671128.8135"	"1057275.574"	"902740.4835"	"1176108.11"	"1428025.992"	"1595339.049"	"1620307.916"	"1976424.695"	"1741668.497"
"CHEBI:16828"	"C11H12N2O2"	"N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O"	"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"	"L-Tryptophan"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"2737994.409"	"2814060.84"	"1064076.676"	"1413714.73"	"1925229.843"	"3925276.524"	"2663686.256"	"2831576.11"	"3211291.825"	"1775743.463"	"1562368.977"	"1686103.271"	"1979570.27"	"2794840.422"	"15574.988"	"2323438.462"	"10362.919"	"1086060.784"	"2009842.291"	"24149.5695"	"1236679.181"	"3998620.65"	"467077.986"	"2329772.481"	"816786.786"	"456624.2786"	"1.645120097E7"	"1752644.588"	"2735085.366"	"2418852.211"	"2179794.214"	"2391858.434"	"2175856.53"	"2744982.895"	"2332824.899"	"2472612.366"	"255958.9381"	"2749515.437"	"681273.9598"	"1454410.193"	"318696.778"	"2492898.235"	"2039757.93"	"1880283.4"	"1164745.634"	"5266785.548"	"2781645.535"	"2919966.976"	"1172043.965"	"2582077.202"	"1166535.169"	"2238208.5"	"771613.3379"	"2706751.943"	"6851.811"	"837246.635"	"2757782.354"	"1810461.55"	"8140722.551"	"684432.7119"	"2625990.677"	"1124637.376"	"595849.236"	"3083284.097"	"699211.4185"	"2759373.796"	"746256.727"	"2638591.331"	"3911683.28"	"4095695.713"	"2881412.334"	"1952742.472"	"2647761.436"	"776315.2725"	"931928.6471"	"2502801.706"	"3019432.907"	"2476026.431"	"6196561.821"	"3441470.264"	"1797986.835"	"1687132.388"	"3162153.002"	"2179881.667"	"3301680.232"	"1265819.645"	"653913.5024"	"990120.0625"	"1041130.206"	"1032050.954"	"1983761.149"	"2006271.372"	"2722782.049"	"4852257.747"	"2631452.603"
"CHEBI:16857"	"C4H9NO3"	"C[C@@H](O)[C@H](N)C(O)=O"	"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1"	"L-Threonine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"5600531.837"	"3372216.932"	"1242746.594"	"3614370.363"	"5578559.846"	"5979577.457"	"2743714.706"	"2276849.821"	"2400332.647"	"1823045.465"	"1606125.032"	"2117549.899"	"2202961.362"	"2725252.873"	"6888.644"	"1774854.017"	"12471.397"	"1822684.067"	"3582857.225"	"11220.3245"	"3188402.161"	"3130592.208"	"773142.324"	"7743658.576"	"2338264.714"	"1862833.729"	"9162133.436"	"2411044.203"	"5072698.79"	"4365211.238"	"4278210.266"	"4339401.27"	"6607453.598"	"4423376.882"	"2724883.669"	"4548146.087"	"2033430.221"	"4351346.878"	"902144.648"	"2465375.529"	"2521309.989"	"2923178.529"	"2074295.386"	"1439283.809"	"1572247.747"	"4361870.072"	"4548045.782"	"2789218.654"	"4786256.256"	"1728062.511"	"5292589.84"	"2034302.378"	"1768996.165"	"5544870.391"	"10755.177"	"2707480.816"	"5531508.096"	"8381511.239"	"7169441.96"	"2116634.536"	"5115132.423"	"3066117.312"	"1301193.244"	"5037060.99"	"941275.5365"	"5093993.128"	"847982.64"	"5356168.399"	"1.007072508E7"	"4106346.096"	"5137087.651"	"833074.58"	"4902368.742"	"2216791.055"	"2527202.021"	"5142101.43"	"8531440.105"	"4622645.587"	"1.436701503E7"	"1.202251957E7"	"2354727.448"	"1581405.381"	"2239777.895"	"3938000.967"	"1414078.087"	"3289999.443"	"1169638.475"	"1978010.1"	"1185343.788"	"2215064.242"	"2149951.361"	"1854216.62"	"2610371.278"	"4277716.285"	"1930652.053"
"CHEBI:15699"	"C4H9NO3"	"N[C@@H](CCO)C(O)=O"	"InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1"	"L-Homoserine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"5600531.837"	"3372216.932"	"1242746.594"	"3614370.363"	"5578559.846"	"5979577.457"	"2743714.706"	"2276849.821"	"2400332.647"	"1823045.465"	"1606125.032"	"2117549.899"	"2202961.362"	"2725252.873"	"6888.644"	"1774854.017"	"12471.397"	"1822684.067"	"3582857.225"	"11220.3245"	"3188402.161"	"3130592.208"	"773142.324"	"7743658.576"	"2338264.714"	"1862833.729"	"9162133.436"	"2411044.203"	"5072698.79"	"4365211.238"	"4278210.266"	"4339401.27"	"6607453.598"	"4423376.882"	"2724883.669"	"4548146.087"	"2033430.221"	"4351346.878"	"902144.648"	"2465375.529"	"2521309.989"	"2923178.529"	"2074295.386"	"1439283.809"	"1572247.747"	"4361870.072"	"4548045.782"	"2789218.654"	"4786256.256"	"1728062.511"	"5292589.84"	"2034302.378"	"1768996.165"	"5544870.391"	"10755.177"	"2707480.816"	"5531508.096"	"8381511.239"	"7169441.96"	"2116634.536"	"5115132.423"	"3066117.312"	"1301193.244"	"5037060.99"	"941275.5365"	"5093993.128"	"847982.64"	"5356168.399"	"1.007072508E7"	"4106346.096"	"5137087.651"	"833074.58"	"4902368.742"	"2216791.055"	"2527202.021"	"5142101.43"	"8531440.105"	"4622645.587"	"1.436701503E7"	"1.202251957E7"	"2354727.448"	"1581405.381"	"2239777.895"	"3938000.967"	"1414078.087"	"3289999.443"	"1169638.475"	"1978010.1"	"1185343.788"	"2215064.242"	"2149951.361"	"1854216.62"	"2610371.278"	"4277716.285"	"1930652.053"
"CHEBI:17115"	"C3H7NO3"	"N[C@@H](CO)C(O)=O"	"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1"	"L-Serine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"5293280.501"	"7716832.401"	"1404076.458"	"7623984.717"	"1.213991885E7"	"4170603.21"	"2953296.65"	"4168203.468"	"3579341.143"	"3029594.443"	"2677857.018"	"3617647.554"	"3017877.373"	"5172333.565"	"40603.343"	"4283066.846"	"56293.986"	"3429637.003"	"3395222.679"	"49592.25706"	"6703526.783"	"1568727.06"	"1059628.577"	"5576343.896"	"1368884.655"	"4000797.05"	"9042707.97"	"5576256.598"	"5756977.45"	"5353032.95"	"5167665.767"	"5067950.625"	"3904957.266"	"5273663.533"	"7536000.831"	"5211758.806"	"6576304.894"	"5003328.89"	"1070568.378"	"4298778.301"	"3575192.457"	"3546574.189"	"3540918.675"	"2203141.729"	"3489187.632"	"3122528.111"	"2932799.53"	"1541159.44"	"4409135.828"	"2817155.086"	"3283401.645"	"2660333.77"	"4669248.858"	"5427724.473"	"48827.514"	"3806828.541"	"5221341.468"	"4385380.87"	"1612258.685"	"8587391.753"	"5584632.508"	"3182938.184"	"4130550.582"	"5424086.195"	"2200818.42"	"5356336.562"	"3309547.713"	"5433463.358"	"1890257.212"	"2957799.087"	"5346680.034"	"2084743.859"	"5120163.544"	"3198797.393"	"4113699.16"	"5281191.255"	"1.107269879E7"	"5341582.309"	"1.291975272E7"	"6004888.788"	"2430570.141"	"2402282.729"	"3608156.959"	"1751900.588"	"3842225.996"	"2714942.483"	"3291800.298"	"3917716.606"	"2788731.265"	"2852719.546"	"3118999.536"	"3058424.577"	"3050289.209"	"3769666.447"	"3935056.205"
"CHEBI:17203"	"C5H9NO2"	"OC(=O)[C@@H]1CCCN1"	"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1"	"L-Proline"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"3.107004231E7"	"2.48110539E7"	"1.323813299E7"	"1.264967229E7"	"1.915986328E7"	"3.599247483E7"	"1.632321492E7"	"1.28188535E7"	"1.783206255E7"	"7361483.528"	"6293276.075"	"7874307.315"	"7223287.59"	"7396274.977"	"141941.003"	"6400948.398"	"165264.2685"	"6875710.168"	"1.409452532E7"	"112034.0285"	"1.609311847E7"	"1.02298325E7"	"1.029380965E7"	"4.099317405E7"	"1.422541938E7"	"4110094.366"	"9.221755897E7"	"7149882.221"	"2.989517634E7"	"3.013921941E7"	"2.839623122E7"	"2.711420894E7"	"3.977430815E7"	"2.959567853E7"	"9456685.114"	"2.944346788E7"	"1.218570375E7"	"2.82507432E7"	"2.045459598E7"	"2.075715726E7"	"1.730229289E7"	"1.010782457E7"	"2.238563716E7"	"1.607830222E7"	"1.357301756E7"	"3.247284532E7"	"1.611799304E7"	"1.917824632E7"	"1.576985542E7"	"8891398.279"	"2.451971269E7"	"7755898.405"	"9736121.041"	"2.889735682E7"	"138875.076"	"1.343638794E7"	"2.933913712E7"	"6.256569458E7"	"1.464831144E8"	"5741128.852"	"2.988430544E7"	"3.478872758E7"	"4626369.361"	"2.881629655E7"	"5581527.144"	"3.019891286E7"	"6676417.386"	"2.945478262E7"	"3.650024986E7"	"4.581093399E7"	"2.892170681E7"	"2.000957542E7"	"2.898745858E7"	"3.258002712E7"	"3.407418924E7"	"3.053684231E7"	"4.024305425E7"	"2.921706477E7"	"5.406892798E7"	"1.121470323E8"	"1.684708512E7"	"6096179.694"	"1.247216538E7"	"6894512.339"	"2.891565013E7"	"7523764.991"	"4876786.168"	"5476435.77"	"4761390.397"	"8884186.943"	"1.095240334E7"	"6361097.755"	"9815801.662"	"1.321544216E7"	"4837376.532"
"CHEBI:7916"	"C9H17NO5"	"CC(C)(CO)C(O)C(=O)NCCC(O)=O"	"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)"	"Pantothenate"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"858207.1148"	"885265.1475"	"158335.957"	"476940.961"	"1837087.155"	"225587.7265"	"862674.112"	"70088.863"	"17348.47467"	"33154.9085"	"27591.77818"	"36227.60426"	"69738.936"	"799471.3802"	"2032.903"	"853432.4295"	"4838.59112"	"735094.034"	"670825.0071"	"5809.71282"	"686506.898"	"230310.9207"	"525770.5919"	"222333.19"	"763518.898"	"81382.476"	"989341.1878"	"864242.9094"	"460987.5858"	"389607.888"	"285745.112"	"343070.0803"	"1387974.302"	"435725.311"	"1681470.474"	"399575.7477"	"1820023.08"	"401760.2025"	"141138.918"	"640260.6735"	"1316524.234"	"62627.849"	"292201.113"	"25551.6655"	"394903.4445"	"142235.22"	"292464.6468"	"458161.974"	"58527.0095"	"48885.636"	"170975.9941"	"34607.11206"	"198300.6985"	"780836.6225"	"1096.761"	"1261576.341"	"705934.0775"	"572887.7773"	"707037.7148"	"225826.504"	"877398.338"	"206580.2746"	"263753.2059"	"569392.314"	"113610.205"	"605329.386"	"56186.7135"	"733981.1835"	"979444.865"	"321598.4475"	"640117.277"	"800432.081"	"574246.7815"	"307104.0644"	"585732.0632"	"577558.7155"	"687231.2095"	"479319.018"	"1118862.547"	"476586.1062"	"107489.97"	"17615.85406"	"41965.40107"	"16143.0344"	"786367.6665"	"388391.4342"	"571056.177"	"752578.661"	"296615.841"	"86731.1075"	"101418.657"	"101152.562"	"51168.0015"	"268970.4929"	"82950.0015"
"CHEBI:16643"	"C5H11NO2S"	"CSCC[C@H](N)C(O)=O"	"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1"	"L-Methionine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"800182.9995"	"413931.7508"	"344321.1825"	"282116.8105"	"323829.0338"	"2227295.148"	"708419.1145"	"674122.764"	"535418.7685"	"263274.6228"	"361018.6989"	"540716.8265"	"388327.7218"	"671419.7065"	"5377.4295"	"593662.963"	"2506.478"	"470707.655"	"706777.6528"	"3211.1145"	"288553.6884"	"878726.7145"	"227894.708"	"1061467.051"	"330786.844"	"172505.0645"	"883322.3515"	"437651.1265"	"899400.0865"	"727946.2808"	"865054.944"	"824797.9995"	"509096.496"	"814139.2181"	"396338.1678"	"745568.3359"	"309166.8289"	"795329.3531"	"183185.793"	"561381.514"	"237144.6221"	"452757.2952"	"577823.8085"	"298938.6215"	"318415.272"	"1718900.923"	"464551.069"	"359304.8605"	"295618.1131"	"387141.1963"	"464326.3545"	"340609.791"	"287687.3442"	"839144.467"	"3144.265"	"187084.9545"	"821032.856"	"534086.4083"	"2828762.275"	"107467.9195"	"834507.2915"	"319530.8428"	"153274.3022"	"784482.2502"	"161268.4905"	"831362.2935"	"205799.286"	"822557.332"	"882638.3315"	"1273648.311"	"787697.6435"	"220652.8875"	"841324.1145"	"249835.9715"	"243704.5292"	"823824.374"	"369766.424"	"843671.5625"	"447472.8954"	"2003613.935"	"432415.256"	"407472.2235"	"449104.1345"	"442030.4194"	"393129.4545"	"436016.2395"	"207757.047"	"247725.6831"	"326385.311"	"363288.0315"	"393781.634"	"463758.247"	"481962.7887"	"634384.647"	"395558.356"
"CHEBI:16283"	"C6H12N2O4S2"	"N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O"	"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1"	"L-Cystine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"5957647.08"	"1.823719222E7"	"5576250.419"	"1.033521904E7"	"1.213443213E7"	"3475147.393"	"2675882.948"	"938455.352"	"7457905.613"	"907428.487"	"737590.587"	"734533.222"	"700267.0905"	"1.674739663E7"	"11340.7125"	"1.64693719E7"	"23162.1395"	"7581794.507"	"3766887.295"	"21471.489"	"9611202.639"	"1799242.594"	"6039708.485"	"1387079.302"	"5578813.826"	"4164736.858"	"9332129.889"	"9548219.311"	"6011674.54"	"5817263.359"	"5833272.975"	"5540408.967"	"4990771.635"	"5657187.417"	"8151760.92"	"5423496.316"	"9778291.791"	"5919327.34"	"663357.4425"	"1608169.992"	"4655954.696"	"682845.1597"	"1003345.045"	"455215.5577"	"2588257.874"	"1485839.6"	"2983522.696"	"3849636.007"	"3781714.729"	"374308.5657"	"1.588271711E7"	"666789.581"	"4990902.249"	"6030585.284"	"20434.1265"	"6995673.899"	"5898003.711"	"6697496.559"	"4004695.269"	"6161596.191"	"5942373.861"	"5000350.745"	"3511938.315"	"5703101.69"	"3298522.652"	"5843774.565"	"1807120.065"	"5626965.502"	"6257815.571"	"2616179.755"	"5934375.817"	"938781.4235"	"5626915.655"	"2202524.803"	"1763736.354"	"5398581.154"	"5046373.399"	"5602707.286"	"5366282.866"	"4213262.135"	"625973.8928"	"548571.329"	"668375.9935"	"769940.104"	"1486214.033"	"8083740.25"	"3449005.04"	"1.004449758E7"	"3277110.418"	"812047.7478"	"872242.8885"	"595384.62"	"526200.8812"	"1609350.499"	"441986.5555"
